label_id,phrase,count
P01,el ekstɾanˈxeɾo komiˈo θˈinko xuɣˈosas kostˈiʎas,4
P02,el kaɾnˈeɾo ɡuˈia a un reβˈaɲo numeɾˈoso,3
P03,emˈiljo faβɾikˈo un pˈito maɾaβiʎˈoso,1
P04,emˈiljo faβɾikˈo un silβˈato un pˈito maɾaβiʎˈoso,2
P05,klˈawðja tjˈene dˈos lˈiβɾos ɡɾˈandes,3
P06,la βˈoða duɾˈo θˈinko dˈias maɾaβiʎˈosos,3
P07,los mutʃˈatʃos xwˈeɣan kon ˈuna pjˈeðɾa peliɣɾˈosa,3
P08,lˈawɾa enkontɾˈo ˈuna kwˈeβa eskondˈiða,4
P09,manˈwel bˈende mil anˈiʎos nˈeɣɾos,3
P10,mi pˈero salbˈo tɾˈes peɾsˈonas eɾˈiðas,4
P11,pˈeðɾo pjˈeɾðe ˈotʃo siʎˈones baɾˈatos,3
P12,pˈeðɾo tˈoka kwˈatɾo instɾumˈentos musˈikales,3
P13,sˈeɾxjo estˈa paseˈando djˈeθ oβˈexas ambɾjˈentas,4
P14,sˈilbja kˈose un pantalˈon aθˈul,4
P15,teɾˈesa bˈuska sjˈete reɣˈalos pekˈeɲos,3
P16,xosˈe bebiˈo dˈos botˈeʎas pekˈeɲas,4
P17,xosˈe kˈompɾa djˈeθ θapˈatos aθˈules,3
P18,xwˈan enkontɾˈo θˈinko peɾðˈiθes,2
P19,xwˈan enkontɾˈo θˈinko peɾðˈiθes ɡˈoɾðas,2
P20,xˈuljo silβˈo un mensˈaxe poˈetiko,3
P21,ˈesta oβˈexa neθesˈita mˈutʃo pˈasto bwˈeno,4
