filename,phrase
01-D-2016-Juan_Encontro_1.wav,xwˈan enkontɾˈo θˈinko peɾðˈiθes ɡˈoɾðas
01-D-2017-Matrice-08512-002-repet1.wav,klˈawðja tjˈene dˈos lˈiβɾos ɡɾˈandes
01-D-2017-Matrice-08512-002-repet2.wav,klˈawðja tjˈene dˈos lˈiβɾos ɡɾˈandes
01-D-2017-Matrice-08512-002-repet3.wav,klˈawðja tjˈene dˈos lˈiβɾos ɡɾˈandes
01-JL-2018-matrices090131-009-repet1.wav,xwˈan enkontɾˈo θˈinko peɾðˈiθes
01-JL-2018-matrices090131-009-repet2.wav,xwˈan enkontɾˈo θˈinko peɾðˈiθes
01-TI-2019-Matrice-080102-001-repet1.wav,xwˈan enkontɾˈo θˈinko peɾðˈiθes ɡˈoɾðas
02-D-2016-Serio_Esta_1.wav,sˈeɾxjo estˈa paseˈando djˈeθ oβˈexas ambɾjˈentas
02-D-2017-Matrice-08512-002-repet1.wav,teɾˈesa bˈuska sjˈete reɣˈalos pekˈeɲos
02-D-2017-Matrice-08512-002-repet2.wav,teɾˈesa bˈuska sjˈete reɣˈalos pekˈeɲos
02-D-2017-Matrice-08512-002-repet3.wav,teɾˈesa bˈuska sjˈete reɣˈalos pekˈeɲos
02-JL-2018-matrices090131-010-repet1.wav,sˈeɾxjo estˈa paseˈando djˈeθ oβˈexas ambɾjˈentas
02-JL-2018-matrices090131-010-repet2.wav,sˈeɾxjo estˈa paseˈando djˈeθ oβˈexas ambɾjˈentas
02-TI-2019-Matrice-080102-001-repet1.wav,sˈeɾxjo estˈa paseˈando djˈeθ oβˈexas ambɾjˈentas
03-D-2016-Esta_Oveja_Necesita_1.wav,ˈesta oβˈexa neθesˈita mˈutʃo pˈasto bwˈeno
03-D-2017-Matrice-08512-002-repet1.wav,xosˈe kˈompɾa djˈeθ θapˈatos aθˈules
03-D-2017-Matrice-08512-002-repet2.wav,xosˈe kˈompɾa djˈeθ θapˈatos aθˈules
03-D-2017-Matrice-08512-002-repet3.wav,xosˈe kˈompɾa djˈeθ θapˈatos aθˈules
03-JL-2018-matrices090131-010-repet1.wav,ˈesta oβˈexa neθesˈita mˈutʃo pˈasto bwˈeno
03-JL-2018-matrices090131-010-repet2.wav,ˈesta oβˈexa neθesˈita mˈutʃo pˈasto bwˈeno
03-TI-2019-Matrice-080102-001-repet1.wav,ˈesta oβˈexa neθesˈita mˈutʃo pˈasto bwˈeno
04-D-2016-Mi_Perro_1.wav,mi pˈero salbˈo tɾˈes peɾsˈonas eɾˈiðas
04-D-2017-Matrice-08512-002-repet1.wav,pˈeðɾo pjˈeɾðe ˈotʃo siʎˈones baɾˈatos
04-D-2017-Matrice-08512-002-repet2.wav,pˈeðɾo pjˈeɾðe ˈotʃo siʎˈones baɾˈatos
04-D-2017-Matrice-08512-002-repet3.wav,pˈeðɾo pjˈeɾðe ˈotʃo siʎˈones baɾˈatos
04-JL-2018-matrices090131-010-repet1.wav,mi pˈero salbˈo tɾˈes peɾsˈonas eɾˈiðas
04-JL-2018-matrices090131-010-repet2.wav,mi pˈero salbˈo tɾˈes peɾsˈonas eɾˈiðas
04-TI-2019-Matrice-080102-001-repet1.wav,mi pˈero salbˈo tɾˈes peɾsˈonas eɾˈiðas
05-D-2016-El_Extrangero_1.wav,el ekstɾanˈxeɾo komiˈo θˈinko xuɣˈosas kostˈiʎas
05-D-2017-Matrice-08512-002-repet1.wav,manˈwel bˈende mil anˈiʎos nˈeɣɾos
05-D-2017-Matrice-08512-002-repet2.wav,manˈwel bˈende mil anˈiʎos nˈeɣɾos
05-D-2017-Matrice-08512-002-repet3.wav,manˈwel bˈende mil anˈiʎos nˈeɣɾos
05-JL-2018-matrices090131-010-repet1.wav,el ekstɾanˈxeɾo komiˈo θˈinko xuɣˈosas kostˈiʎas
05-JL-2018-matrices090131-010-repet2.wav,el ekstɾanˈxeɾo komiˈo θˈinko xuɣˈosas kostˈiʎas
05-TI-2019-Matrice-080102-001-repet1.wav,el ekstɾanˈxeɾo komiˈo θˈinko xuɣˈosas kostˈiʎas
06-D-2016-Silvia_Cose_1.wav,sˈilbja kˈose un pantalˈon aθˈul
06-JL-2018-matrices090131-015-repet1.wav,sˈilbja kˈose un pantalˈon aθˈul
06-JL-2018-matrices090131-015-repet2.wav,sˈilbja kˈose un pantalˈon aθˈul
06-TI-2019-Matrice-080102-001-repet1.wav,sˈilbja kˈose un pantalˈon aθˈul
07-D-2016-Jose_Bebio_1.wav,xosˈe bebiˈo dˈos botˈeʎas pekˈeɲas
07-JL-2018-matrices090131-015-repet1.wav,xosˈe bebiˈo dˈos botˈeʎas pekˈeɲas
07-JL-2018-matrices090131-015-repet2.wav,xosˈe bebiˈo dˈos botˈeʎas pekˈeɲas
07-TI-2019-Matrice-080102-001-repet1.wav,xosˈe bebiˈo dˈos botˈeʎas pekˈeɲas
08-JL-2018-matrices090131-015-repet1.wav,emˈiljo faβɾikˈo un silβˈato un pˈito maɾaβiʎˈoso
08-JL-2018-matrices090131-015-repet2.wav,emˈiljo faβɾikˈo un silβˈato un pˈito maɾaβiʎˈoso
08-TI-2019-Matrice-080102-001-repet1.wav,emˈiljo faβɾikˈo un pˈito maɾaβiʎˈoso
09-JL-2018-matrices090131-015-repet1.wav,lˈawɾa enkontɾˈo ˈuna kwˈeβa eskondˈiða
09-JL-2018-matrices090131-015-repet2.wav,lˈawɾa enkontɾˈo ˈuna kwˈeβa eskondˈiða
09-TI-2019-Matrice-080102-001-repet1.wav,lˈawɾa enkontɾˈo ˈuna kwˈeβa eskondˈiða
09-TI-2019-Matrice-080102-001-repet2.wav,lˈawɾa enkontɾˈo ˈuna kwˈeβa eskondˈiða
10-JL-2018-matrices090131-015-repet1.wav,el kaɾnˈeɾo ɡuˈia a un reβˈaɲo numeɾˈoso
10-JL-2018-matrices090131-015-repet2.wav,el kaɾnˈeɾo ɡuˈia a un reβˈaɲo numeɾˈoso
10-TI-2019-Matrice-080102-001-repet2.wav,el kaɾnˈeɾo ɡuˈia a un reβˈaɲo numeɾˈoso
11-JL-2018-matrices090131-015-repet1.wav,xˈuljo silβˈo un mensˈaxe poˈetiko
11-JL-2018-matrices090131-015-repet2.wav,xˈuljo silβˈo un mensˈaxe poˈetiko
11-TI-2019-Matrice-080102-001-repet2.wav,xˈuljo silβˈo un mensˈaxe poˈetiko
12-JL-2018-matrices090131-015-repet1.wav,los mutʃˈatʃos xwˈeɣan kon ˈuna pjˈeðɾa peliɣɾˈosa
12-JL-2018-matrices090131-015-repet2.wav,los mutʃˈatʃos xwˈeɣan kon ˈuna pjˈeðɾa peliɣɾˈosa
12-TI-2019-Matrice-080102-001-repet2.wav,los mutʃˈatʃos xwˈeɣan kon ˈuna pjˈeðɾa peliɣɾˈosa
13-JL-2018-matrices090131-015-repet1.wav,pˈeðɾo tˈoka kwˈatɾo instɾumˈentos musˈikales
13-JL-2018-matrices090131-015-repet2.wav,pˈeðɾo tˈoka kwˈatɾo instɾumˈentos musˈikales
13-TI-2019-Matrice-080102-001-repet2.wav,pˈeðɾo tˈoka kwˈatɾo instɾumˈentos musˈikales
14-JL-2018-matrices090131-015-repet1.wav,la βˈoða duɾˈo θˈinko dˈias maɾaβiʎˈosos
14-JL-2018-matrices090131-015-repet2.wav,la βˈoða duɾˈo θˈinko dˈias maɾaβiʎˈosos
14-TI-2019-Matrice-080102-001-repet2.wav,la βˈoða duɾˈo θˈinko dˈias maɾaβiʎˈosos
